sec_name,hold_stocks,holding_marketvalue,publish_ratio,calculate_ratio,change_holdstocks,float_sharesratio,code,date
浦发银行,468525301.0,4385396817.36,1.59,1.5962222677669626,-1206115.0,3.0533206942518905,600000.SH,2020-11-13
白云机场,157222040.0,2260852935.2000003,7.59,7.597761629303598,1319880.0,15.52084078673902,600004.SH,2020-11-13
东风汽车,533538.0,3393301.68,0.02,0.0266769,0.0,0.0668593984962406,600006.SH,2020-11-13
中国国贸,10458119.0,133654760.82,1.03,1.0382508032249866,-29772.0,5.365275997445813,600007.SH,2020-11-13
首创股份,122741582.0,375589240.92,1.67,1.6720940779954077,-8569797.0,5.3803591256546754,600008.SH,2020-11-13
上海机场,243098535.0,18458471762.550003,22.23,22.23171306367027,2107964.0,26.987542547446626,600009.SH,2020-11-13
包钢股份,598419823.0,706135391.14,1.88,1.8891177380195463,1426387.0,2.9188021394741726,600010.SH,2020-11-13
华能国际,177267339.0,888109368.39,1.61,1.611856834792007,203050.0,4.050970019160656,600011.SH,2020-11-13
皖通高速,19934126.0,115019907.02,1.71,1.7102029855868222,866264.0,8.41939758995486,600012.SH,2020-11-13
华夏银行,230949973.0,1429580332.8700001,1.8,1.8011043960585815,-5426500.0,4.340390295650164,600015.SH,2020-11-13
民生银行,669439913.0,3434226753.69,1.88,1.8877603830404355,-20691824.0,1.9584570643320014,600016.SH,2020-11-13
日照港,15561350.0,44661074.5,0.5,0.5059525735556366,0.0,1.0100276694040315,600017.SH,2020-11-13
上港集团,160683334.0,715040836.3000001,0.69,0.6933873735040118,-410568.0,4.77682737463818,600018.SH,2020-11-13
宝钢股份,1098091401.0,6972880396.349999,4.95,4.956184609753907,311760.0,13.134412915286072,600019.SH,2020-11-13
中原高速,15189405.0,52859129.4,0.67,0.675874138125266,-222181.0,1.7117645085407824,600020.SH,2020-11-13
上海电力,21230514.0,151585869.95999998,0.9,0.9044859908726111,-355403.0,2.7036506457323477,600021.SH,2020-11-13
浙能电力,4721613.0,17422751.97,0.03,0.03471598135216609,0.0,0.12466229290768922,600023.SH,2020-11-13
华能水电,62278673.0,259079279.68,0.69,0.6975657818100358,-2582524.0,3.459926277777778,600025.SH,2020-11-13
