open,high,low,close,volume,amt,dealnum,pct_chg,swing,vwap,adjfactor,turn,free_turn_n,maxup,maxdown,maxupordown,open_auction_price,open_auction_volume,open_auction_amount,ev,mkt_cap_ard,pe_ttm,val_pe_deducted_ttm,pb_lf,pb_mrq,ps_ttm,ps_lyr,pcf_ocf_ttm,pcf_ncf_ttm,pcf_ocflyr,pcf_nflyr,ev2,ev2_to_ebitda,mkt_freeshares,code,date
7.28,7.28,7.14,7.2,5158328.0,37099578.0,4439.0,-0.9628610729023345,1.925722145804685,7.192171184151143,3.274333,0.9582945145472852,1.7879,8.0,6.54,0.0,7.28,24800.0,180544.0,7604677781.315367,8896724992.800001,144.64256286621094,1058.5397605255382,4.560719966888428,4.560720136279713,6.100537119034101,5.95805035013181,18.437340735163907,-613.31787109375,20.66606667690629,-9.67837730732345,8414503728.985367,19.10384271999397,2077348298.4,000058.SZ,2020-11-13
5.57,5.61,5.48,5.6,19023451.0,105681799.0,10352.0,-0.1782531194296017,2.317290552584668,5.555343191937152,1.700835,1.1894046291012128,2.281,6.17,5.05,0.0,5.57,199800.0,1112886.0,8956878207.199999,8956878207.199999,-92.12506103515625,-44.44564811113191,0.684305727481842,0.6843057209623454,0.27956678815333064,0.22613616186903193,11.160430753046075,-81.12358856201172,3.288768218102274,-5.550700751182442,14989521959.329998,4.636236286106943,4670345993.599999,000059.SZ,2020-11-13
4.41,4.52,4.38,4.46,52440741.0,233188720.0,19737.0,0.45045045045044074,3.153153153153146,4.446709095891685,37.80753,1.4695576563649675,2.2433,4.88,4.0,0.0,4.41,49189.0,216923.49,15920796558.42,15920796558.42,18.9129581451416,22.107784316567386,1.4140931367874146,1.4140931766572251,0.5820355656587713,0.6982645385619332,7.483739065521391,229.82005310058594,7.167277740446887,271.29335613977014,18285332277.62,9.250503296168262,10425978326.92,000060.SZ,2020-11-13
6.8,6.82,6.61,6.71,9363483.0,62593277.0,7267.0,-1.7569546120058535,3.0746705710102487,6.684828391315497,21.476806,0.5522806260619717,0.8371,7.51,6.15,0.0,6.8,21300.0,144840.0,11386629319.01,11386629319.01,27.070209503173828,104.58591513020735,2.123124599456787,2.123124679997977,3.7110954005421353,3.9911596244123646,17.662081025824882,-23.55372428894043,12.269187924321395,27.089243235021975,16681798506.45,12.667820572320009,7505158954.7,000061.SZ,2020-11-13
13.5,13.67,13.41,13.6,2317754.0,31451915.0,4487.0,0.6661732050333053,1.9245003700962233,13.569997074754266,7.249106,0.22187113276064194,0.9366,14.86,12.16,0.0,,,,14224366779.199999,14224366779.199999,23.57291603088379,24.789268505666058,2.6112940311431885,2.6112939726915942,0.8936266361780487,0.990880224610022,-34.736301667993985,259.9688415527344,20.479572155577383,47.748615933208974,16915022158.019999,14.62773316715107,3365598854.4,000062.SZ,2020-11-13
35.48,35.95,35.0,35.82,74958504.0,2648658111.0,104043.0,-0.7756232686980626,2.6315789473684292,35.334991624165816,15.87094,2.156301245898674,3.0685,39.71,32.49,0.0,35.48,647800.0,22983943.999999996,151592345108.17044,165253238046.36002,44.279170989990234,135.4102979020296,3.9434375762939453,3.943437586148046,1.642263177430473,1.8212416029292353,19.64908878122628,17.499385833740234,22.191907565029407,22.41728293827914,155917575108.17044,14.161587305760658,87501511512.0,000063.SZ,2020-11-13
7.65,7.65,7.54,7.62,1388759.0,10532346.0,2037.0,-0.3921568627451055,1.4379084967320301,7.583998375528079,15.327162,0.2063252648145884,0.4644,8.42,6.89,0.0,7.65,9000.0,68850.0,5863709313.96,5863709313.96,8.090727806091309,8.057380537773938,1.1040031909942627,1.1040032451923687,0.5100917358213977,0.5301643483227824,-3.271073685595528,3.719386339187622,-3.7147162959545517,-4.622009868158944,6583524574.67,6.660221349792847,2278703042.28,000065.SZ,2020-11-13
15.02,15.19,14.77,15.12,25103783.0,376446346.0,26522.0,-0.19801980198020458,2.772277227722772,14.995602296275425,10.877829,0.8574248250376544,1.483,16.67,13.64,0.0,15.02,120100.0,1803902.0,44274112641.36,44274112641.35999,57.080284118652344,307.58311872459086,5.628102779388428,5.628102816305426,3.9694562586782696,4.082902267912146,-47.69329663051028,37.23930740356445,405.61214092541377,74.24672136813525,50107565895.17,29.621290631416883,25595051040.719997,000066.SZ,2020-11-13
3.06,3.08,3.03,3.07,3460700.0,10576537.0,1366.0,0.32679738562090194,1.633986928104584,3.056184297974398,2.279506,0.3437765074067899,0.6279,3.37,2.75,0.0,3.06,25400.0,77724.0,3090481394.48,3090481394.48,4242.58056640625,-28.86876950015034,6.841892719268799,6.841892542506487,11.799807072767935,13.730241891477554,68.48686166761763,-12.644255638122559,122.31095312731819,234.80220271000923,4637961061.27,60.133130821564194,1692074612.83,000068.SZ,2020-11-13
6.99,7.0,6.88,6.91,25383261.0,175400663.0,15977.0,-1.5669515669515663,1.7094017094017109,6.9100917726843685,42.484971,0.36071789971749896,0.6087,7.72,6.32,0.0,6.99,209900.0,1467201.0,56674395952.65,56674395952.65,4.889770030975342,5.64279089105333,0.8057289123535156,0.8057289126761986,0.8917019731740929,0.9441794297350536,-15.209204904423476,32.79633331298828,-10.924615746394867,5.019805850767639,156544676051.85,6.837636093894812,28814102651.23,000069.SZ,2020-11-13
10.36,10.38,10.15,10.25,8309750.999999999,85288515.0,8490.0,-1.6314779270633362,2.207293666026876,10.263666745249047,3.483536,1.0449561319426848,1.6941,11.46,9.38,0.0,10.36,12600.0,130535.99999999999,8369731974.25,8369731974.250001,39.44220733642578,-248.57731319432818,2.950655937194824,2.9506559087103557,2.063606863460928,1.7976571867704068,-4.440473093451958,34.445838928222656,-32.8245591232679,-60.46349010568827,11498480690.81,19.040038486291778,5027650789.000001,000070.SZ,2020-11-13
4.05,4.05,4.01,4.05,10239978.0,41254112.0,5238.0,-0.49140049140050196,0.9828009828009836,4.028730530475749,20.484481,0.39065999486174946,0.729,4.48,3.66,0.0,4.05,47300.0,191565.0,11140874690.85,11140874690.85,147.06884765625,-127.4383449177945,1.7334765195846558,1.726136037005871,0.28179509633433053,0.268502016778494,5.594901651148557,-38.79445266723633,4.9108555814468575,111.9825074054616,17686573385.78,8.119320230704421,5689255380.749999,000078.SZ,2020-11-13
